Website Data Type,Website Data
Adwords Cost,0.0
Adwords Keywords,0.0
Adwords Traffic,0.0
Average Visit Duration,158.0
Bounce Rate,0.42619999999999997
Category Rank,801.0
Direct,0.523
Display,0.0085
Mail,0.0168
Number of Keywords 1-3,178.0
Number of Keywords 3-10,269.0
Organic Cost,23812.0
Organic Keywords,3959.0
Organic Keywords Percentage,
Organic Search,0.1856
Organic Traffic,21542.0
PLA Keywords,0.0
PLA Uniques,0.0
Pages per Visit,3.03
Paid Keywords Percentage,
Paid Search,0.0242
Rank,18812.0
Referrals,0.1986
SERP Features Positions,250.0
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.0432
Total Keywords #5,261.0
Total Visits,42200.0
