Website Data Type,Website Data,SemRush API Data Type,SemRush API Data
,,,
,,,
,,,
Category Rank,1537.0,Rank,12078
Total Visits,27400.0,Organic Keywords,8021
Bounce Rate,0.6825,Organic Traffic,36686
Pages per Visit,2.29,Organic Cost,38830
Average Visit Duration,135.0,Adwords Keywords,3
,,Adwords Traffic,270
,,Adwords Cost,53
,,PLA Keywords,0
,,PLA Uniques,0
,,SERP Features Positions,1227
,,SERP Features Positions Branded,
,,SERP Features Traffic,
Direct,0.6145,Number of Keywords 1-3,451
Referrals,0.2994,Number of Keywords 3-10,544
Organic Search,0.06269999999999999,,
Paid Search,0.023399999999999997,,
Social,0.0,,
Mail,0.0,,
Display,0.0,,
,,,
Total Keywords #5,537.0,,
Organic Keywords Percentage,,,
Paid Keywords Percentage,,,
