Website Data Type,Website Data,Source
Adwords Cost,1.0,Competitor 1
Adwords Keywords,0.0,Competitor 1
Adwords Traffic,1.0,Competitor 1
Average Visit Duration,1.0,Competitor 1
Bounce Rate,0.0,Competitor 1
Category Rank,0.0,Competitor 1
Direct,1.0,Competitor 1
Display,1.0,Competitor 1
Mail,1.0,Competitor 1
Number of Keywords 1-3,0.0,Competitor 1
Number of Keywords 3-10,0.0,Competitor 1
Organic Cost,0.0,Competitor 1
Organic Keywords,1.0,Competitor 1
Organic Keywords Percentage,1.0,Competitor 1
Organic Search,1.0,Competitor 1
Organic Traffic,0.9999999999999996,Competitor 1
PLA Keywords,1.0,Competitor 1
PLA Uniques,1.0,Competitor 1
Pages per Visit,0.9999999999999999,Competitor 1
Paid Keywords Percentage,1.0,Competitor 1
Paid Search,1.0,Competitor 1
Rank,1.0,Competitor 1
Referrals,0.0,Competitor 1
SERP Features Positions,0.0,Competitor 1
SERP Features Positions Branded,1.0000000000000002,Competitor 1
SERP Features Traffic,0.0,Competitor 1
Social,0.9999999999999999,Competitor 1
Total Keywords #5,0.0,Competitor 1
Total Visits,0.0,Competitor 1
